id,created_add,name,screen_name,full_text
1,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa los trabajos están bien definidos y organizados.
2,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa no siempre está claro quién debe tomar las decisiones.
3,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Esta empresa se preocupa de que yo tenga claro su funcionamiento. en quienes recae la autoridad y cuales son las tareas y responsabilidades de cada uno.
4,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa no es necesario permiso para hacer cada cosa.
5,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Las ideas nuevas no se toman mucho en cuenta. debido a que existen demasiadas reglas. detalles administrativos y trámites que cumplir.
6,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,A veces trabajamos en forma desorganizada y sin planificación.
7,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En algunas de las labores en que me he desempeñado. no he sabido exactamente quién era mi jefe.
8,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Quienes dirigen esta empresa prefieren reunir a las personas más apropiadas para hacer un trabajo. aunque esto signifique cambiarlas de sus puestos habituales.
9,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa hay poca confianza en la responsabilidad individual respecto del trabajo.
10,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Quienes dirigen esta empresa prefieren que si uno está haciendo bien las cosas. siga adelante con confianza en vez de consultarlo todo con ellos.
11,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa los jefes dan las indicaciones generales de lo que se debe hacer y se le deja al personal la responsabilidad sobre el trabajo específico.
12,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Para que un trabajo quede bien es necesario que sea hecho con audacia. responsabilidad e iniciativa.
13,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Cuando se nos presentan problemas en el trabajo debemos resolverlos por sí solos y no recurrir necesariamente a los jefes.
14,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Es común en esta empresa que los errores sean superados sólo con disculpas.
15,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Uno de los problemas que tenemos es que la gente no asume sus responsabilidades en el trabajo.
16,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa los que se desempeñan mejor en su trabajo pueden llegar a ocupar los mejores puestos.
17,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa existe mayor preocupación por destacar el trabajo bien hecho que aquel mal hecho.
18,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa mientras mejor sea el trabajo que se haga. mejor es el reconocimiento que se recibe.
19,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa existe una tendencia a ser más negativo que positivo.
20,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa no hay recompensa ni reconocimiento por el trabajo bien hecho.
21,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa los errores son sancionados.
22,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa se trabaja en forma lenta pero segura y sin riesgos.
23,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Esta empresa se ha desarrollado porque se arriesgó cuando fué necesario.
24,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En este empresa la toma de decisiones se hace en forma cautelosa para alcanzar los fines propuestos.
25,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,La dirección de nuestra empresa está dispuesta a correr los riesgos de una buena iniciativa.
26,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Para que esta empresa sea superior a otras. a veces hay que correr grandes riesgos.
27,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Entre el personal de esta empresa predomina un ambiente de amistad.
28,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Esta empresa se caracteriza por un ambiente cómodo y relajado.
29,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa cuesta mucho llegar a tener amigos.
30,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa la mayoría de las personas es indiferente hacia los demás.
31,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa existen buenas relaciones humanas entre la administración y el personal.
32,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa los jefes son poco comprensivos cuando se comete un error.
33,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa la administración se esfuerza por conocer las aspiraciones de cada uno.
34,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa no existe mucha confianza entre superior y subordinado.
35,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,La administración de nuestra empresa muestra interés por las personas. por sus problemas e inquietudes.
36,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa cuando tengo que hacer un trabajo difícil. puedo contar con la ayuda de mi jefe y de mis compañeros.
37,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa. se nos exige un rendimiento muy alto en nuestro trabajo.
38,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,Para la administración de esta empresa toda tarea puede ser mejor hecha.
39,2022-09-13 9:00:00,Cuestionario de Litwin y Stringer,@litwinstringer,En esta empresa la administración continuamente insiste en que mejoremos nuestro trabajo individual y en grupo.
